Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,150676194826.809,274294842523.054,957798998031.277,938934430070.659,864313960482.343,869682954136.208,858988578709.755,778476714087.962,759934804372.319,720288811761.915,819034484303.169,905987824096.127
Turkiye,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.26614667149323,6.93323970455904,8.48581699653026,4.9397151613658,6.08448690443663,3.32308420845746,7.50199748917491,2.97988525813022,0.783610198384551,1.9400322454902,11.3534964080772,5.56586003977017
Turkiye,TUR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,58.2443981066746,49.3607762430324,6.2801096970818,7.38951863770303,7.84491693010263,8.13047807814451,10.9824216683285,16.4758182074064,13.8192559838756,14.8528234526725,28.9505861055085,96.106781054
Turkiye,TUR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,17.4762288321229,10.0328526543258,6.67610812297851,6.55723547339657,6.86837534505832,6.14229206403875,6.03862979568919,5.77601221014132,6.40868714930889,6.66815502175033,5.54307698765026,6.46046479706226
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.0610690169089,26.7974121691922,27.6799921784829,28.1166611892662,27.8343492901217,28.0829597706854,29.1317212602651,29.4046222941905,27.2588172210829,28.0252013650582,31.1137138367434,31.8732802074889
Turkiye,TUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.3651028519296,19.8811989046161,23.7930095050818,25.2055416974053,24.5312773389092,23.0835091311263,26.0394223439924,31.1528780813097,32.5272015787758,28.7331269769847,35.3030142248797,37.8940143381867
Turkiye,TUR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,17.5778926485052,22.4732381343953,28.7342892947321,28.560759468849,26.557266261846,25.244677102771,29.7227464055755,31.4014913972396,30.1615273793078,32.2228040644612,35.5319089745946,42.603940273982
Turkiye,TUR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.5492675167824,23.7182041889344,29.6194607828599,28.9674633636774,28.1992021702007,28.0196036096236,30.6942181017627,29.3770492856674,25.2325449997412,31.5484413613926,31.8770767506007,35.0541666920245
Turkiye,TUR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,13.6555927056466,..,30.8343306014254,30.3097485220209,30.5309064062257,31.0034219898642,29.4808889933504,30.4570221270613,30.7112136873329,30.2730068055677,29.9936678621093,..
Turkiye,TUR,Time required to start a business (days),IC.REG.DURS,..,..,10.5,11,11,10,10,7,7,..,..,..
Turkiye,TUR,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,72.3555640676851,74.9403642837415,77.1367796050065,80.0507516589936,80.2921005949606,82.2659518663075,82.9321042607698,98.3512406834346,94.6532482061408,73.8946872351865
Turkiye,TUR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,11.5583312683401,..,18.3638081029172,17.9458170478531,18.1807806755588,18.2655872255633,17.7181577427261,17.2810641374945,16.5476756963403,17.6649402511587,17.8817572111649,..
Turkiye,TUR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.52770569378721,3.66109466979562,1.92395933259341,1.87196655112723,1.81284829274449,2.05032460503249,2.05006581752215,2.52369540945235,2.69365024001119,2.43156791269991,1.89889704063657,1.23348554849601
Turkiye,TUR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.058554077,25.16380041,90.96975758,92.0323995,92.45799717,92.64658163,94.77443648,96.74999684,96.77676962,97.61417509,101.785223,105.807654
Turkiye,TUR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,3.13023252515566,3.37964066838788,3.43602412158813,3.03809561130311,3.23269565316732,2.67351882884454,3.0281378949985,3.15272447974192,3.28355884557685,..
Turkiye,TUR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,85.5555555555556,84.4444444444444,82.2222333333333,77.7778,85.5555666666667,77.7778,81.1111333333333,81.1111333333333,..,..
Turkiye,TUR,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,23.4025023266156,29.9961892258637,44.0910880955223,44.4809548594964,42.1838610354655,40.4096686417242,46.9400886104495,52.4512798662675,51.4752052083073,54.027633588821,60.6372514855146,68.2021307092577
Turkiye,TUR,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,111.647575041,102.3436104457,92.5500247252,93.9087303919,100,104.0498405441,98.6076511025,94.9721437221,94.733511193,99.6128322795,88.6360363382,..
Turkiye,TUR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,49424152195.2,116799280014,390418979727.8,406183127252.3,400057787893.1,410026357718.7,457281756683.8,447923482712,444540140466.2,441150332033.4,435450866075.5,..
Turkiye,TUR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,33.7974418252197,38.8995854810205,27.5612998935031,24.2488504241703,25.9865887882398,37.2405633234639,38.2699507526334,34.6104571200039,34.6280217424942,41.5128129011079,25.4319379154178,..
Turkiye,TUR,Net migration,SM.POP.NETM,-22662,-77647,393572,703144,341261,375842,-252010,-261813,-218341,-80952,-69729,..
Turkiye,TUR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3246000000,4560000000,1901000000,1739000000,1385000000,1186000000,1048000000,1128000000,848000000,810000000,724000000,694000000
Turkiye,TUR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,715000000,982000000,13563000000,13337000000,19263000000,13835000000,11190000000,12450000000,9549000000,7700000000,13325000000,13094000000
Turkiye,TUR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1303849975.58594,328570007.324219,2847840087.89063,3446770019.53125,2141260009.76563,3609090087.89063,3147209960.9375,1189800048.82813,696159973.144531,538140014.648438,1055560058.59375,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,
